Timestamp,Room,X Ref,Y Ref,W Ref,BSSID,SSID,RSSI,Channel
16:28.0,CIB215,1,1,1,00:19:07:36:49:51,ntu-student,-70,6
16:28.0,CIB215,1,1,1,00:19:07:36:49:53,ntu-mobile,-69,6
16:28.0,CIB215,1,1,1,00:19:07:36:49:52,eduroam,-69,6
16:28.0,CIB215,1,1,1,00:19:07:36:49:50,ntu-staff,-69,6
16:28.0,CIB215,1,1,1,00:19:07:36:49:57,,-70,6
16:28.0,CIB215,1,1,1,00:19:07:36:49:56,,-71,6
16:28.0,CIB215,1,1,1,00:13:5f:f9:c1:23,ntu-mobile,-90,11
16:28.0,CIB215,1,1,1,00:19:07:36:49:55,ntu-wirelessHelp,-70,6
16:28.0,CIB215,1,1,1,00:19:07:36:49:54,ntu-visitor,-70,6
16:28.0,CIB215,1,1,1,00:13:5f:f9:c1:25,ntu-wirelessHelp,-91,11
16:29.4,CIB215,1,1,1,00:19:07:36:49:51,ntu-student,-69,6
16:29.4,CIB215,1,1,1,00:19:07:36:49:53,ntu-mobile,-69,6
16:29.4,CIB215,1,1,1,00:19:07:36:49:52,eduroam,-69,6
16:29.4,CIB215,1,1,1,00:19:07:36:49:50,ntu-staff,-69,6
16:29.4,CIB215,1,1,1,00:19:07:36:49:57,,-70,6
16:29.4,CIB215,1,1,1,00:19:07:36:49:56,,-69,6
16:29.4,CIB215,1,1,1,00:13:5f:f9:c1:23,ntu-mobile,-90,11
16:29.4,CIB215,1,1,1,00:19:07:36:49:55,ntu-wirelessHelp,-69,6
16:29.4,CIB215,1,1,1,00:19:07:36:49:54,ntu-visitor,-70,6
16:29.4,CIB215,1,1,1,00:13:5f:f9:c1:25,ntu-wirelessHelp,-91,11
16:30.7,CIB215,1,1,1,00:19:07:36:49:51,ntu-student,-72,6
16:30.7,CIB215,1,1,1,00:19:07:36:49:53,ntu-mobile,-72,6
16:30.7,CIB215,1,1,1,00:19:07:36:49:52,eduroam,-72,6
16:30.7,CIB215,1,1,1,00:19:07:36:49:50,ntu-staff,-71,6
16:30.7,CIB215,1,1,1,00:19:07:36:49:57,,-73,6
16:30.7,CIB215,1,1,1,00:19:07:36:49:56,,-73,6
16:30.7,CIB215,1,1,1,00:13:5f:f9:c1:23,ntu-mobile,-90,11
16:30.7,CIB215,1,1,1,00:19:07:36:49:55,ntu-wirelessHelp,-73,6
16:30.7,CIB215,1,1,1,00:19:07:36:49:54,ntu-visitor,-73,6
16:30.7,CIB215,1,1,1,00:13:5f:f9:c1:25,ntu-wirelessHelp,-91,11
16:31.9,CIB215,1,1,1,00:19:07:36:49:51,ntu-student,-71,6
16:31.9,CIB215,1,1,1,00:19:07:36:49:53,ntu-mobile,-72,6
16:31.9,CIB215,1,1,1,00:19:07:36:49:52,eduroam,-72,6
16:31.9,CIB215,1,1,1,00:19:07:36:49:50,ntu-staff,-72,6
16:31.9,CIB215,1,1,1,00:19:07:36:49:57,,-73,6
16:31.9,CIB215,1,1,1,00:19:07:36:49:56,,-71,6
16:31.9,CIB215,1,1,1,00:13:5f:f9:c1:23,ntu-mobile,-90,11
16:31.9,CIB215,1,1,1,00:19:07:36:49:55,ntu-wirelessHelp,-72,6
16:31.9,CIB215,1,1,1,00:19:07:36:49:54,ntu-visitor,-71,6
16:31.9,CIB215,1,1,1,00:13:5f:f9:c1:25,ntu-wirelessHelp,-91,11
16:33.1,CIB215,1,1,1,00:19:07:36:49:51,ntu-student,-60,6
16:33.1,CIB215,1,1,1,00:19:07:36:49:53,ntu-mobile,-59,6
16:33.1,CIB215,1,1,1,00:19:07:36:49:52,eduroam,-62,6
16:33.1,CIB215,1,1,1,00:19:07:36:49:50,ntu-staff,-61,6
16:33.1,CIB215,1,1,1,00:19:07:36:49:57,,-59,6
16:33.1,CIB215,1,1,1,00:19:07:36:49:56,,-60,6
16:33.1,CIB215,1,1,1,00:19:07:36:49:55,ntu-wirelessHelp,-60,6
16:33.1,CIB215,1,1,1,00:19:07:36:49:54,ntu-visitor,-61,6
16:33.1,CIB215,1,1,1,00:13:5f:f9:c1:25,ntu-wirelessHelp,-92,11
16:33.1,CIB215,1,1,1,00:13:5f:f9:c1:22,eduroam,-90,11
16:33.1,CIB215,1,1,1,00:13:5f:f9:c1:21,ntu-student,-90,11
16:34.3,CIB215,1,1,1,00:19:07:36:49:51,ntu-student,-60,6
16:34.3,CIB215,1,1,1,00:19:07:36:49:53,ntu-mobile,-62,6
16:34.3,CIB215,1,1,1,00:19:07:36:49:52,eduroam,-61,6
