Timestamp,Room,X Ref,Y Ref,W Ref,BSSID,SSID,RSSI,Channel
42:39.3,Corridor J,0,1,1,00:13:5f:f9:f0:02,eduroam,-51,1
42:39.3,Corridor J,0,1,1,00:13:5f:f9:f0:07,ntu-wifi,-52,1
42:39.3,Corridor J,0,1,1,00:13:5f:f9:f0:04,ntu-visitor,-52,1
42:39.3,Corridor J,0,1,1,00:13:5f:f9:f0:05,ntu-wirelessHelp,-52,1
42:39.3,Corridor J,0,1,1,70:10:5c:f4:3b:b4,ntu-visitor,-78,6
42:39.3,Corridor J,0,1,1,00:13:5f:f9:f0:03,,-53,1
42:39.3,Corridor J,0,1,1,70:10:5c:f4:3b:b5,ntu-wirelessHelp,-79,6
42:39.3,Corridor J,0,1,1,70:10:5c:f4:3b:b2,eduroam,-79,6
42:39.3,Corridor J,0,1,1,00:13:5f:f9:f0:01,,-52,1
42:39.3,Corridor J,0,1,1,70:10:5c:f4:3b:b1,,-78,6
42:39.3,Corridor J,0,1,1,70:10:5c:f4:3b:b6,,-80,6
42:39.3,Corridor J,0,1,1,00:13:5f:f9:f0:06,,-52,1
43:45.1,CIB201,1,1,1,00:13:5f:f9:f0:02,eduroam,-50,1
43:45.1,CIB201,1,1,1,00:13:5f:f9:f0:07,ntu-wifi,-51,1
43:45.1,CIB201,1,1,1,00:13:5f:f9:f0:04,ntu-visitor,-51,1
43:45.1,CIB201,1,1,1,00:13:5f:f9:f0:05,ntu-wirelessHelp,-50,1
43:45.1,CIB201,1,1,1,00:13:5f:f9:f0:00,,-50,1
43:45.1,CIB201,1,1,1,00:13:5f:f9:f0:06,,-51,1
43:45.1,CIB201,1,1,1,00:13:5f:f9:f0:01,,-50,1
43:55.2,CIB202,8,5,1,00:13:5f:f9:f0:02,eduroam,-58,1
43:55.2,CIB202,8,5,1,00:13:5f:f9:f0:07,ntu-wifi,-58,1
43:55.2,CIB202,8,5,1,00:13:5f:f9:f0:04,ntu-visitor,-59,1
43:55.2,CIB202,8,5,1,00:13:5f:f9:f0:05,ntu-wirelessHelp,-58,1
43:55.2,CIB202,8,5,1,00:13:5f:f9:f0:00,,-50,1
43:55.2,CIB202,8,5,1,00:13:5f:f9:f0:06,,-61,1
43:55.2,CIB202,8,5,1,00:13:5f:f9:f0:01,,-58,1
43:55.2,CIB202,8,5,1,00:13:5f:f8:7f:b3,,-84,1
43:55.2,CIB202,8,5,1,00:13:5f:f8:7f:b7,ntu-wifi,-85,1
43:55.2,CIB202,8,5,1,00:13:5f:f8:7f:b5,ntu-wirelessHelp,-85,1
44:03.9,CIB202,7,1,1,00:13:5f:f9:f0:02,eduroam,-60,1
44:03.9,CIB202,7,1,1,00:13:5f:f9:f0:07,ntu-wifi,-60,1
44:03.9,CIB202,7,1,1,00:13:5f:f9:f0:04,ntu-visitor,-60,1
44:03.9,CIB202,7,1,1,00:13:5f:f9:f0:05,ntu-wirelessHelp,-60,1
44:03.9,CIB202,7,1,1,00:13:5f:f9:f0:06,,-61,1
44:03.9,CIB202,7,1,1,00:13:5f:f9:f0:01,,-63,1
44:03.9,CIB202,7,1,1,00:13:5f:f8:7f:b3,,-84,1
44:03.9,CIB202,7,1,1,00:13:5f:f8:7f:b7,ntu-wifi,-83,1
44:03.9,CIB202,7,1,1,00:13:5f:f8:7f:b5,ntu-wirelessHelp,-86,1
44:03.9,CIB202,7,1,1,00:13:5f:f9:f0:03,,-63,1
44:03.9,CIB202,7,1,1,00:13:5f:f8:7f:b0,,-85,1
44:03.9,CIB202,7,1,1,00:13:5f:f8:7f:b4,ntu-visitor,-83,1
44:10.0,CIB202,5,1,1,00:13:5f:f9:f0:02,eduroam,-54,1
44:10.0,CIB202,5,1,1,00:13:5f:f9:f0:07,ntu-wifi,-58,1
44:10.0,CIB202,5,1,1,00:13:5f:f9:f0:04,ntu-visitor,-58,1
44:10.0,CIB202,5,1,1,00:13:5f:f9:f0:05,ntu-wirelessHelp,-58,1
44:10.0,CIB202,5,1,1,00:13:5f:f9:f0:01,,-63,1
44:10.0,CIB202,5,1,1,00:13:5f:f8:7f:b7,ntu-wifi,-83,1
44:10.0,CIB202,5,1,1,00:13:5f:f8:7f:b5,ntu-wirelessHelp,-82,1
44:10.0,CIB202,5,1,1,00:13:5f:f9:f0:03,,-63,1
44:10.0,CIB202,5,1,1,00:13:5f:f8:7f:b0,,-85,1
44:10.0,CIB202,5,1,1,00:13:5f:f8:7f:b4,ntu-visitor,-83,1
44:10.0,CIB202,5,1,1,00:13:5f:f9:f0:00,,-58,1
44:10.0,CIB202,5,1,1,00:13:5f:f8:7f:b2,eduroam,-82,1
44:10.0,CIB202,5,1,1,00:13:5f:f8:7f:b6,,-84,1
44:10.0,CIB202,5,1,1,00:13:5f:f8:7f:b1,,-85,1
44:16.0,CIB202,3,1,1,00:13:5f:f9:f0:02,eduroam,-71,1
44:16.0,CIB202,3,1,1,00:13:5f:f9:f0:07,ntu-wifi,-72,1
44:16.0,CIB202,3,1,1,00:13:5f:f9:f0:04,ntu-visitor,-72,1
44:16.0,CIB202,3,1,1,00:13:5f:f9:f0:05,ntu-wirelessHelp,-72,1
44:16.0,CIB202,3,1,1,00:13:5f:f8:7f:b7,ntu-wifi,-84,1
44:16.0,CIB202,3,1,1,00:13:5f:f8:7f:b5,ntu-wirelessHelp,-84,1
44:16.0,CIB202,3,1,1,00:13:5f:f9:f0:00,,-74,1
44:16.0,CIB202,3,1,1,00:13:5f:f8:7f:b2,eduroam,-83,1
44:16.0,CIB202,3,1,1,00:13:5f:f8:7f:b6,,-83,1
44:16.0,CIB202,3,1,1,00:13:5f:f8:7f:b1,,-86,1
44:26.9,CIB202,10,1,1,00:13:5f:f9:f0:02,eduroam,-54,1
44:26.9,CIB202,10,1,1,00:13:5f:f9:f0:07,ntu-wifi,-53,1
44:26.9,CIB202,10,1,1,00:13:5f:f9:f0:04,ntu-visitor,-53,1
44:26.9,CIB202,10,1,1,00:13:5f:f9:f0:05,ntu-wirelessHelp,-53,1
44:26.9,CIB202,10,1,1,00:13:5f:f8:7f:b7,ntu-wifi,-79,1
44:26.9,CIB202,10,1,1,00:13:5f:f8:7f:b5,ntu-wirelessHelp,-80,1
44:26.9,CIB202,10,1,1,00:13:5f:f9:f0:00,,-53,1
44:26.9,CIB202,10,1,1,00:13:5f:f8:7f:b2,eduroam,-83,1
44:26.9,CIB202,10,1,1,00:13:5f:f8:7f:b6,,-83,1
44:26.9,CIB202,10,1,1,00:13:5f:f8:7f:b1,,-86,1
44:26.9,CIB202,10,1,1,00:13:5f:f9:f0:03,,-54,1
44:26.9,CIB202,10,1,1,00:13:5f:f8:7f:b0,,-80,1
44:26.9,CIB202,10,1,1,70:10:5c:f4:3b:b2,eduroam,-83,6
44:26.9,CIB202,10,1,1,00:13:5f:f8:7f:b4,ntu-visitor,-79,1
44:26.9,CIB202,10,1,1,70:10:5c:f4:3b:b4,ntu-visitor,-84,6
44:26.9,CIB202,10,1,1,70:10:5c:f4:3b:b5,ntu-wirelessHelp,-84,6
44:36.8,CIB202,8,4,1,00:13:5f:f9:f0:02,eduroam,-51,1
44:36.8,CIB202,8,4,1,00:13:5f:f9:f0:07,ntu-wifi,-50,1
44:36.8,CIB202,8,4,1,00:13:5f:f9:f0:04,ntu-visitor,-51,1
44:36.8,CIB202,8,4,1,00:13:5f:f9:f0:05,ntu-wirelessHelp,-51,1
44:36.8,CIB202,8,4,1,00:13:5f:f8:7f:b7,ntu-wifi,-86,1
44:36.8,CIB202,8,4,1,00:13:5f:f8:7f:b5,ntu-wirelessHelp,-85,1
44:36.8,CIB202,8,4,1,00:13:5f:f9:f0:00,,-53,1
44:36.8,CIB202,8,4,1,00:13:5f:f9:f0:03,,-51,1
44:36.8,CIB202,8,4,1,00:13:5f:f8:7f:b0,,-87,1
44:36.8,CIB202,8,4,1,70:10:5c:f4:3b:b2,eduroam,-83,6
44:36.8,CIB202,8,4,1,00:13:5f:f8:7f:b4,ntu-visitor,-79,1
44:36.8,CIB202,8,4,1,70:10:5c:f4:3b:b4,ntu-visitor,-84,6
44:36.8,CIB202,8,4,1,70:10:5c:f4:3b:b5,ntu-wirelessHelp,-84,6
44:36.8,CIB202,8,4,1,00:13:5f:f9:f0:06,,-51,1
44:36.8,CIB202,8,4,1,00:13:5f:f9:f0:01,,-51,1
44:36.8,CIB202,8,4,1,00:13:5f:f8:7f:b3,,-86,1
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
