Name,Width,Height,Left,Top,Right,Bottom,isRoom,GlobalX,GlobalY
CIB201,12.2,9.14,785,136,1056,345,TRUE,39,6
CIB202,11.97,5.78,654,2,923,136,TRUE,32,0
CIB203,11.97,5.95,923,2,1188,136,TRUE,45,0
CIB205,5.77,15.35,1057,195,1188,535,TRUE,48,12
CIB206,5.885,8.62,923,345,1057,535,TRUE,42,19
CIB207,5.93,8.64,792,345,923,535,TRUE,36,19
CIB208,5.87,8.53,661,345,792,535,TRUE,30,19
CIB210,8.94,6.1,464,402,661,535,TRUE,21,21
CIB212,8.77,5.77,269,402,400,535,TRUE,12,21
CIB213,11.94,6.05,3,402,269,535,TRUE,0,21
CIB214,6.04,3.01,3,248,135,339,TRUE,0,13
CIB215,6.01,12.15,3,2,135,248,TRUE,0,0
CIB216,5.69,8.87,135,2,263,198,TRUE,7,0
CIB220,12,6,263,2,389,198,TRUE,20,0
Corridor A,6.44,2.16,588,136,749,181,FALSE,31,6
Corridor B,9,1.97,389,136,588,181,FALSE,22,6
Corridor C,1.98,3.96,389,179,434,266,FALSE,22,8
Corridor D,10.04,1.98,179,197,388,243,FALSE,9,10
Corridor E,1.97,9,135,197,179,402,FALSE,7,10
Corridor F,9.73,1.98,178,357,397,402,FALSE,9,17
Corridor G,10.11,1.98,397,357,614,402,FALSE,19,17
Corridor H,1.96,2.7,616,345,661,402,FALSE,29,17
Corridor I,7.87,1.96,616,300,785,345,FALSE,29,15
Corridor J,2.37,1.96,749,136,785,181,FALSE,37,6
